"Sentrix_ID","Tumor_Group","Color"
"204596820118_R01C01","EWS","#7EDE7A"
"204596820118_R03C01","EWS","#7EDE7A"
"204424040069_R03C01","EWS","#7EDE7A"
"204424040075_R07C01","EWS","#7EDE7A"
"204848060145_R05C01","EWS","#7EDE7A"
"204848060145_R06C01","EWS","#7EDE7A"
"204848060145_R07C01","EWS","#7EDE7A"
"204848060145_R08C01","EWS","#7EDE7A"
"204848240005_R01C01","EWS","#7EDE7A"
"204848240005_R02C01","EWS","#7EDE7A"
"204848240005_R03C01","EWS","#7EDE7A"
"204848240005_R04C01","EWS","#7EDE7A"
"204848240005_R07C01","EWS","#7EDE7A"
"204848240005_R08C01","EWS","#7EDE7A"
"204848240008_R01C01","EWS","#7EDE7A"
"204848240008_R02C01","EWS","#7EDE7A"
"204848240008_R05C01","EWS","#7EDE7A"
"204848240008_R06C01","EWS","#7EDE7A"
"204848240008_R07C01","EWS","#7EDE7A"
"204848240008_R08C01","EWS","#7EDE7A"
"204848240140_R06C01","EWS","#7EDE7A"
"205091240084_R05C01","EWS","#7EDE7A"
"205091240084_R07C01","EWS","#7EDE7A"
"205030240082_R03C01","EWS","#7EDE7A"
"205030240082_R04C01","EWS","#7EDE7A"
"205030240082_R05C01","EWS","#7EDE7A"
"205091240084_R08C01","EWS","#7EDE7A"
"205030240082_R08C01","EWS","#7EDE7A"
"205091240085_R01C01","EWS","#7EDE7A"
"205030240111_R02C01","EWS","#7EDE7A"
"205030240111_R03C01","EWS","#7EDE7A"
"205030240111_R04C01","EWS","#7EDE7A"
"205030240111_R05C01","EWS","#7EDE7A"
"205091240085_R02C01","EWS","#7EDE7A"
"205030240057_R04C01","EWS","#7EDE7A"
"205030240057_R06C01","EWS","#7EDE7A"
"205030240062_R02C01","EWS","#7EDE7A"
"205030240062_R03C01","EWS","#7EDE7A"
"205091240084_R01C01","EWS","#7EDE7A"
"205030240080_R02C01","EWS","#7EDE7A"
"205030240080_R05C01","EWS","#7EDE7A"
"205111140024_R02C01","EWS","#7EDE7A"
"205111140024_R03C01","EWS","#7EDE7A"
"205111140024_R04C01","EWS","#7EDE7A"
"205111140024_R05C01","EWS","#7EDE7A"
"205111140024_R06C01","EWS","#7EDE7A"
"205111140024_R07C01","EWS","#7EDE7A"
"205111140024_R08C01","EWS","#7EDE7A"
"205111140043_R01C01","EWS","#7EDE7A"
"205111140043_R02C01","EWS","#7EDE7A"
"205111140043_R04C01","EWS","#7EDE7A"
"205111140043_R05C01","EWS","#7EDE7A"
"205111140043_R06C01","EWS","#7EDE7A"
"205111140043_R08C01","EWS","#7EDE7A"
"205111140044_R01C01","EWS","#7EDE7A"
"205111140044_R02C01","EWS","#7EDE7A"
"205111140044_R04C01","EWS","#7EDE7A"
"205111140044_R05C01","EWS","#7EDE7A"
"205111140044_R06C01","EWS","#7EDE7A"
"205111140044_R07C01","EWS","#7EDE7A"
"205437190053_R01C01","EWS","#7EDE7A"
"205437190053_R04C01","EWS","#7EDE7A"
"205437190053_R05C01","EWS","#7EDE7A"
"205437190053_R06C01","EWS","#7EDE7A"
"205437190053_R07C01","EWS","#7EDE7A"
"205437190053_R08C01","EWS","#7EDE7A"
"205125590004_R07C01","EWS","#7EDE7A"
"205715830106_R05C01","EWS","#7EDE7A"
"205852210097_R06C01","MISC","#7EDE7A"
"205852210097_R08C01","EWS","#7EDE7A"
"205852210105_R01C01","EWS","#7EDE7A"
"205852210105_R03C01","EWS","#7EDE7A"
"205852210105_R04C01","EWS","#7EDE7A"
"205852220085_R08C01","EWS","#7EDE7A"
"205854120003_R01C01","EWS","#7EDE7A"
"205854120003_R02C01","EWS","#7EDE7A"
"205854120003_R04C01","EWS","#7EDE7A"
"205854120003_R06C01","EWS","#7EDE7A"
"205854120003_R07C01","EWS","#7EDE7A"
"205852210114_R03C01","EWS","#7EDE7A"
"205852210114_R05C01","EWS","#7EDE7A"
"205852210114_R06C01","EWS","#7EDE7A"
"205852210127_R03C01","EWS","#7EDE7A"
"205852210127_R06C01","EWS","#7EDE7A"
"205852210147_R01C01","EWS","#7EDE7A"
"205852210147_R03C01","EWS","#7EDE7A"
