"Sample","meth.class","meth.family","col"
"GSM2405411_9741950038_R06C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405412_9741950038_R06C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405413_9741950039_R02C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405414_9741950054_R06C02","HGNET, BCOR","HGNET, BCOR","#739aca"
"GSM2405415_9741950056_R02C01","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405416_9741950056_R02C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405417_9741950074_R05C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405418_9741950086_R05C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405419_9741950159_R05C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405420_9741950159_R06C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405421_9741950159_R01C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405422_9741950159_R03C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405423_9741950173_R06C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405424_9741950159_R01C01","PIN T, PB A","PIN T,  PB A","#cbf5af"
"GSM2405425_9741950158_R06C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405426_3999834100_R05C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2405427_3999834104_R04C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405428_3999834105_R02C01","GBM, MID","MCF GBM ","#27780d"
"GSM2405429_3999834115_R04C01","PITAD, PRL","PITAD, PRL","#00b1a9"
"GSM2405430_3999834115_R06C01","PITUI","PITUI","#58d8db"
"GSM2405431_3999834115_R01C02","PITUI","PITUI","#58d8db"
"GSM2405432_3999834115_R02C02","PITUI","PITUI","#58d8db"
"GSM2405433_3999834118_R01C02","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2405434_3999834118_R06C02","LGG, RGNT","LGG, RGNT","#f79246"
"GSM2405435_3999834121_R04C01","IHG","IHG","#d0bbd8"
"GSM2405436_3999875052_R05C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405437_3999875071_R01C01","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2405438_3999875073_R01C01","ATRT, SHH","MCF ATRT","#009cea"
"GSM2405439_3999875073_R02C01","GBM, MES","MCF GBM ","#538533"
"GSM2405440_3999875073_R05C01","CHGL","CHGL","#b37dec"
"GSM2405441_3999875073_R03C02","CHGL","CHGL","#b37dec"
"GSM2405442_3999875073_R04C02","CHGL","CHGL","#b37dec"
"GSM2405443_3999875076_R06C01","GBM, RTK II","MCF GBM ","#7af870"
